Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","19:00","2015-04-06","WSW","24","33","12000","7.30","1026","R","(Black) Low-level cloud",
"3039","BEALACH NA BA (3039)","57.4200","-5.6900","Highland & Eilean Siar","19:00","2015-04-06","WSW","25","31","","4.20","","#","N/A",
"3063","AVIEMORE (3063)","57.2060","-3.8270","Highland & Eilean Siar","19:00","2015-04-06","SSW","6","","30000","9.60","1032","R","(Black) Low-level cloud",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","19:00","2015-04-06","W","7","","18000","8.00","1035","R","Sunny (Day)",
"3148","GLEN OGLE (3148)","56.4230","-4.3200","Central Tayside & Fife","19:00","2015-04-06","W","10","34","","5.10","","#","N/A",
"3173","EDINBURGH BLACKFORD HILL (3173)","55.9200","-3.1800","Dumfries, Galloway","19:00","2015-04-06","W","14","","","-99.00","","#","N/A",
"3916","BALLYPATRICK FOREST (3916)","55.1810","-6.1530","Northern Ireland","19:00","2015-04-06","N","2","","20000","7.90","1036","R","Sunny intervals",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","19:00","2015-04-06","N","5","","13000","9.40","1035","R","Sunny (Day)",
"3503","TRAWSGOED (3503)","52.3440","-3.9470","Wales","19:00","2015-04-06","W","2","","40000","10.70","1034","R","Sunny (Day)",
"3204","RONALDSWAY (3204)","54.0849","-4.6321","North West England","19:00","2015-04-06","WSW","2","","","5.60","1035","R","(Black) Low-level cloud",
"3225","SHAP (3225)","54.5010","-2.6840","North West England","19:00","2015-04-06","NW","1","","19000","9.80","1034","R","Sunny (Day)",
"3238","ALBEMARLE (3238)","55.0200","-1.8800","North East England","19:00","2015-04-06","W","13","","50000","11.40","1032","R","Sunny (Day)",
"3281","FYLINGDALES (3281)","54.3620","-0.6730","Yorkshire & Humber","19:00","2015-04-06","S","8","","","6.80","","#","N/A",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","19:00","2015-04-06","N","3","","30000","14.70","1033","R","Sunny (Day)",
"3354","WATNALL (3354)","53.0050","-1.2500","East Midlands","19:00","2015-04-06","E","6","","15000","10.80","1034","R","Sunny intervals",
"3391","CONINGSBY (3391)","53.0940","-0.1710","East Midlands","19:00","2015-04-06","ESE","6","","25000","6.60","1034","R","Sunny intervals",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","19:00","2015-04-06","ENE","9","","50000","6.60","1034","R","Sunny (Day)",
"3710","LISCOMBE (3710)","51.0870","-3.6080","South West England","19:00","2015-04-06","N","6","","27000","10.50","1033","R","Sunny (Day)",
"3808","CAMBORNE (3808)","50.2180","-5.3300","South West England","19:00","2015-04-06","NNE","8","","300","8.30","1033","R","Fog",
"3853","YEOVILTON (3853)","51.0060","-2.6400","South West England","19:00","2015-04-06","NNW","8","","16000","13.00","1033","R","Sunny (Day)",
"3660","HIGH WYCOMBE (3660)","51.6800","-0.8020","London & South East England","19:00","2015-04-06","E","6","","27000","8.30","1034","R","Sunny (Day)",
"3768","FARNBOROUGH (3768)","51.2790","-0.7720","London & South East England","19:00","2015-04-06","ENE","9","","25000","10.90","1033","R","Sunny (Day)",
"3797","MANSTON (3797)","51.3422","1.3461","London & South East England","19:00","2015-04-06","NNE","10","","35000","7.10","1034","R","(Black) Low-level cloud",
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","19:00","2015-04-06","SW","15","","4100","8.70","1032","R","Mist",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","19:00","2015-04-06","W","6","","50000","9.10","1034","R","(Black) Low-level cloud",
"3080","ABOYNE (3080)","57.0770","-2.8360","Grampian","19:00","2015-04-06","W","8","","50000","11.10","1031","R","Sunny (Day)",
"3155","DRUMALBIN (3155)","55.6270","-3.7350","Strathclyde","19:00","2015-04-06","W","7","","26000","9.00","1034","R","Sunny (Day)",
"3162","ESKDALEMUIR (3162)","55.3110","-3.2060","Dumfries, Galloway","19:00","2015-04-06","W","6","","45000","11.30","1034","R","(White) Medium-level cloud",
"3907","MAGILLIGAN (3907)","55.0500","-7.0000","Northern Ireland","19:00","2015-04-06","NNW","5","","45000","9.60","1035","R","Sunny (Day)",
"3923","GLENANNE (3923)","54.2370","-6.5020","Northern Ireland","19:00","2015-04-06","NNW","5","","35000","11.60","1034","R","Sunny intervals",
"3410","LAKE VYRNWY SAWS (3410)","52.7570","-3.4640","Wales","19:00","2015-04-06","NNW","8","","40000","11.70","1034","R","Sunny (Day)",
"3605","PEMBREY SANDS SAMOS (3605)","51.7130","-4.3680","Wales","19:00","2015-04-06","NNE","16","","40000","13.70","1033","R","Sunny (Day)",
"3220","CARLISLE (3220)","54.9330","-2.9630","North West England","19:00","2015-04-06","VRB","-99","","17000","8.20","1034","R","Sunny intervals",
"3227","GREAT DUN FELL (3227)","54.6800","-2.4500","North West England","19:00","2015-04-06","WNW","18","","","-99.00","","#","N/A",
"3261","DISHFORTH AIRFIELD (3261)","54.1340","-1.4140","Yorkshire & Humber","19:00","2015-04-06","SE","7","","16000","11.30","1034","R","Sunny (Day)",
"3330","LEEK (3330)","53.1330","-1.9830","West Midlands","19:00","2015-04-06","NNW","3","","23000","11.30","1034","R","Sunny (Day)",
"3535","COLESHILL (3535)","52.4800","-1.6890","West Midlands","19:00","2015-04-06","E","3","","18000","12.60","1033","R","Sunny (Day)",
"3379","CRANWELL (3379)","53.0300","-0.5000","East Midlands","19:00","2015-04-06","SE","10","","28000","6.00","1034","R","Sunny (Day)",
"3482","MARHAM (3482)","52.6510","0.5690","East of England","19:00","2015-04-06","NE","6","","28000","6.10","1034","R","Sunny (Day)",
"3696","WALTON-ON-THE-NAZE (3696)","51.8500","1.2800","East of England","19:00","2015-04-06","NE","11","","","-99.00","","#","N/A",
"3746","BOSCOMBE DOWN (3746)","51.1610","-1.7540","South West England","19:00","2015-04-06","NE","10","","26000","13.60","1033","R","Sunny (Day)",
"3823","CARDINHAM (3823)","50.5020","-4.6670","South West England","19:00","2015-04-06","NNW","9","","11000","9.90","1033","R","Sunny (Day)",
"3649","BRIZE NORTON (3649)","51.7580","-1.5760","London & South East England","19:00","2015-04-06","E","8","","17000","11.90","1033","R","Sunny (Day)",
"3749","MIDDLE WALLOP (3749)","51.1500","-1.5700","London & South East England","19:00","2015-04-06","NE","8","","26000","14.00","1033","R","Sunny (Day)",
